Household,Family Size,Location,Ownership,First Income,Second Income,Monthly Payment,Utilities,Debt
1,2,2,1,"$58,206","$38,503","$1,585",$252,"$5,692"
2,6,2,0,"$48,273","$29,197","$1,314",$216,"$4,267"
3,3,4,0,"$37,582","$28,164",$383,$207,"$2,903"
4,1,1,1,"$56,610",,"$1,002",$249,"$3,896"
5,3,3,0,"$37,731","$21,454",$743,$217,"$3,011"
6,4,1,0,"$30,434","$26,007",$991,$208,"$3,718"
7,1,1,1,"$47,969",,$849,$243,"$5,907"
8,1,1,1,"$55,487",,$752,$242,"$2,783"
9,3,2,1,"$59,947",,"$1,498",$256,"$6,275"
10,6,1,0,"$36,970","$31,838",$991,$222,"$4,845"
11,1,1,1,"$53,113",,"$1,163",$251,"$5,267"
12,3,4,0,"$27,350","$20,969",$619,$209,"$2,256"
13,1,1,1,"$48,064",,"$1,434",$250,"$3,918"
14,2,4,0,"$29,692","$20,617",$997,$190,$879
15,4,4,1,"$25,853",,$948,$254,"$4,606"
16,3,1,1,"$49,728",,"$1,378",$272,"$5,427"
17,2,3,0,"$49,883","$29,240",$902,$201,"$3,482"
18,4,1,1,"$46,265",,"$1,626",$256,"$6,658"
19,2,1,1,"$49,809",,$834,$253,"$4,234"
20,4,4,1,"$43,640",,$729,$259,"$5,393"
21,1,1,1,"$57,395",,"$1,473",$248,"$4,456"
22,1,3,1,"$52,847",,"$1,038",$245,"$3,999"
23,2,2,1,"$59,486",,$933,$251,"$2,598"
24,4,2,1,"$57,577","$52,088",$903,$255,"$6,261"
25,1,2,1,"$63,825",,"$1,346",$250,"$5,402"
26,3,1,0,"$66,868","$57,974",$574,$202,"$3,911"
27,2,2,1,"$48,376","$39,894","$1,407",$257,"$5,889"
28,4,4,1,"$33,646",,$606,$264,"$4,275"
29,3,2,1,"$65,241","$47,205",$699,$254,"$5,737"
30,3,1,1,"$34,531","$21,536",$988,$264,"$5,538"
31,3,4,0,"$18,846","$12,196",$746,$214,"$1,852"
32,3,1,1,"$49,181","$35,091","$1,510",$264,"$7,020"
33,4,2,1,"$65,276","$61,140","$1,091",$261,"$7,212"
34,2,4,0,"$23,597","$20,798",$402,$211,"$1,796"
35,5,3,0,"$28,851","$22,682",$696,$225,"$3,452"
36,3,2,1,"$62,276","$31,231","$1,548",$249,"$6,428"
37,4,1,1,"$42,639","$32,912",$919,$258,"$4,469"
38,2,2,1,"$35,592","$23,074","$1,669",$245,"$5,516"
39,3,1,1,"$49,777","$27,773","$1,049",$256,"$5,239"
40,3,4,1,"$21,451","$13,309",$493,$259,"$3,731"
41,7,3,1,"$37,808","$28,022",$722,$286,"$7,228"
42,3,1,1,"$56,375",,$881,$261,"$3,441"
43,5,2,1,"$67,798","$33,945","$1,424",$264,"$6,067"
44,1,1,1,"$29,805",,"$1,161",$253,"$5,462"
45,1,4,0,"$35,289",,$457,$192,"$1,734"
46,5,2,1,"$63,354","$52,656","$1,458",$277,"$6,153"
47,2,3,0,"$30,693","$23,046",$977,$199,"$3,763"
48,2,2,1,"$68,806",,"$1,453",$251,"$4,930"
49,1,2,1,"$66,770",,"$1,658",$257,"$6,025"
50,1,2,1,"$59,321",,"$1,664",$247,"$5,314"
51,4,2,1,"$49,954","$30,758","$1,062",$260,"$5,179"
52,2,2,1,"$55,752","$37,404","$1,660",$253,"$5,768"
53,5,3,0,"$43,436","$21,855",$699,$215,"$2,767"
54,5,3,1,"$36,780","$21,609",$573,$279,"$5,311"
55,3,1,0,"$64,489","$43,448",$748,$207,"$3,934"
56,2,1,1,"$30,433","$23,929","$1,318",$244,"$4,648"
57,5,4,0,"$20,234","$17,507",$572,$223,"$3,030"
58,2,3,1,"$32,848",,$720,$254,"$4,113"
59,2,4,0,"$16,252","$11,539",$669,$206,"$1,428"
60,3,2,1,"$75,225","$71,930","$1,272",$260,"$6,434"
61,2,3,1,"$38,838","$36,513","$1,084",$247,"$4,428"
62,3,2,1,"$60,993","$44,220","$1,476",$257,"$6,675"
63,2,1,0,"$31,051","$26,520","$1,033",$195,"$1,821"
64,1,1,1,"$43,847",,$847,$244,"$4,264"
65,1,3,1,"$39,862",,"$1,472",$250,"$4,809"
66,2,4,0,"$27,222","$17,215",$520,$201,"$3,705"
67,2,4,0,"$27,651","$18,644",$501,$195,"$3,661"
68,3,2,1,"$53,650","$50,636","$1,292",$259,"$7,043"
69,5,1,0,"$42,168","$39,108",$490,$221,"$1,739"
70,4,3,1,"$36,472","$33,832","$1,435",$260,"$5,895"
71,2,2,1,"$66,346",,"$1,914",$247,"$6,584"
72,4,1,1,"$63,572","$54,048","$1,123",$249,"$6,165"
73,2,3,1,"$50,233","$39,539","$1,293",$259,"$7,177"
74,3,4,0,"$35,466","$28,368",$776,$212,"$3,949"
75,2,2,1,"$77,892","$74,072",$875,$246,"$6,309"
76,4,2,1,"$53,117","$48,393","$1,534",$254,"$6,956"
77,4,2,1,"$56,310","$41,558","$1,283",$261,"$7,363"
78,3,1,1,"$58,563","$43,579","$1,138",$272,"$4,848"
79,2,3,1,"$33,105",,$976,$249,"$3,634"
80,4,1,1,"$34,259","$28,438","$1,302",$251,"$5,235"
81,1,2,1,"$26,910",,"$1,028",$244,"$3,752"
82,5,3,1,"$36,065","$28,020",$640,$278,"$5,430"
83,2,2,1,"$56,330","$54,315",$989,$254,"$5,429"
84,2,1,1,"$54,863","$41,329","$1,751",$245,"$6,172"
85,5,3,1,"$48,304",,$752,$265,"$5,131"
86,3,4,0,"$36,373","$32,341",$428,$207,"$3,187"
87,5,1,0,"$60,940","$57,432",$888,$218,"$2,615"
88,3,1,1,"$53,249","$39,777","$1,469",$254,"$7,415"
89,2,2,1,"$59,064","$53,545",$943,$255,"$4,752"
90,3,4,0,"$32,061","$27,840",$577,$202,$983
91,1,4,1,"$27,377",,$815,$254,"$3,233"
92,2,2,0,"$48,232","$30,728","$1,134",$199,"$3,285"
93,3,2,1,"$62,280","$52,654","$1,278",$259,"$4,497"
94,3,3,1,"$37,184","$27,569","$1,014",$265,"$5,736"
95,2,2,1,"$64,154",,"$1,088",$259,"$5,048"
96,2,2,1,"$86,398","$43,989","$1,137",$241,"$6,145"
97,6,4,1,"$41,335",,$959,$278,"$6,188"
98,4,2,1,"$62,522","$55,855",$831,$265,"$7,345"
99,3,3,0,"$41,490","$35,158",$578,$205,"$3,144"
100,6,2,1,"$45,391","$30,121","$1,040",$275,"$5,991"
101,2,2,1,"$39,367",,"$1,233",$245,"$3,895"
102,1,1,1,"$75,865",,"$1,078",$239,"$5,288"
103,2,4,0,"$36,588","$30,278",$602,$202,"$1,800"
104,2,3,0,"$48,726","$48,694",$622,$203,"$3,120"
105,3,1,1,"$75,208",,"$1,503",$254,"$6,411"
106,4,2,0,"$38,740","$24,806",$568,$208,"$2,584"
107,4,4,0,"$26,219","$16,165",$530,$211,"$3,309"
108,2,4,1,"$32,806",,$771,$242,"$4,410"
109,4,1,1,"$46,667","$29,334","$1,250",$255,"$5,735"
110,4,2,1,"$65,115","$53,755","$1,300",$259,"$5,481"
111,3,3,0,"$40,397","$31,725",$576,$214,"$2,916"
112,2,1,0,"$65,601","$54,278",$992,$201,"$2,671"
113,1,1,0,"$43,657",,$848,$191,"$4,311"
114,1,3,1,"$37,523",,"$1,829",$250,"$5,117"
115,3,2,1,"$73,734","$73,481","$1,731",$264,"$4,112"
116,3,3,1,"$58,580","$51,488",$670,$261,"$3,671"
117,3,1,1,"$55,806","$37,384","$1,676",$257,"$6,247"
118,1,3,1,"$31,400",,"$1,030",$246,"$4,726"
119,3,3,1,"$48,455","$31,331",$635,$270,"$5,719"
120,2,1,1,"$40,858","$34,114","$1,049",$247,"$5,212"
121,2,2,1,"$59,737","$59,510","$1,588",$254,"$5,924"
122,1,4,0,"$24,478",,$989,$196,"$2,871"
123,4,4,0,"$36,395","$27,650",$655,$215,"$3,067"
124,3,2,1,"$42,843","$36,965","$1,500",$261,"$4,963"
125,5,4,0,"$21,557","$14,322",$658,$217,"$2,606"
126,3,3,0,"$37,186","$24,577",$689,$204,"$2,759"
127,1,3,0,"$34,806",,$681,$207,"$2,592"
128,2,3,1,"$35,479","$21,271",$964,$255,"$3,933"
129,6,4,0,"$30,584","$17,372",$586,$223,"$4,229"
130,1,1,1,"$52,448",,"$1,121",$248,"$5,412"
131,5,1,1,"$39,096","$37,336","$1,203",$263,"$6,631"
132,5,4,0,"$24,128","$13,889",$762,$216,"$2,812"
133,1,4,0,"$46,342",,$560,$201,"$2,792"
134,3,4,0,"$23,302","$20,987",$626,$223,"$2,961"
135,1,4,1,"$39,578",,$953,$239,"$3,863"
136,2,2,1,"$49,132","$36,007","$2,171",$250,"$6,796"
137,2,2,1,"$56,838","$32,021",$810,$252,"$5,963"
138,4,2,1,"$61,955","$57,445","$1,460",$253,"$6,727"
139,1,1,1,"$71,211",,"$1,514",$253,"$5,135"
140,1,4,0,"$28,837",,$569,$202,"$1,552"
141,5,3,0,"$34,354","$22,543",$778,$228,"$5,593"
142,4,4,0,"$24,442","$12,940",$558,$205,"$2,013"
143,5,4,0,"$22,259","$19,683",$680,$223,"$2,408"
144,6,1,1,"$48,910","$40,063","$1,007",$268,"$6,810"
145,1,4,0,"$25,713",,$814,$191,"$2,163"
146,3,4,1,"$22,991","$14,387","$1,252",$257,"$4,661"
147,2,2,1,"$84,820","$70,096","$1,467",$245,"$6,661"
148,1,4,0,"$27,721",,$723,$198,"$2,082"
149,7,1,0,"$39,602","$32,198",$848,$237,"$5,906"
150,3,1,0,"$31,100","$28,489","$1,083",$210,"$2,072"
151,3,2,1,"$58,451","$29,753","$1,470",$257,"$6,623"
152,4,4,0,"$20,277","$14,502",$500,$215,"$2,794"
153,2,3,1,"$33,963","$33,168",$991,$243,"$4,006"
154,1,1,1,"$45,869",,"$1,377",$246,"$6,206"
155,1,2,1,"$62,071",,"$1,326",$255,"$6,186"
156,1,4,0,"$30,557",,$601,$211,"$1,185"
157,3,4,0,"$30,482","$18,684",$588,$208,"$4,557"
158,3,1,1,"$90,488","$68,619","$1,537",$262,"$7,904"
159,3,1,1,"$61,174","$35,481","$1,601",$261,"$4,504"
160,3,4,1,"$28,378",,$644,$256,"$4,375"
161,3,2,1,"$39,847","$32,802","$1,573",$253,"$5,097"
162,1,4,0,"$37,154",,$657,$201,"$1,348"
163,5,1,0,"$42,841","$33,961",$892,$213,"$2,551"
164,5,2,1,"$56,072","$55,593","$1,248",$271,"$6,969"
165,3,3,0,"$33,442","$21,920",$770,$201,"$2,584"
166,4,1,1,"$28,822","$22,936",$959,$257,"$8,190"
167,2,1,1,"$33,018",,$871,$249,"$4,591"
168,3,2,1,"$30,225",,"$1,117",$260,"$4,560"
169,5,3,1,"$42,178","$40,211","$1,269",$278,"$6,286"
170,2,3,0,"$28,340","$18,533",$627,$198,"$1,854"
171,2,3,1,"$43,027","$38,600","$1,235",$251,"$4,694"
172,2,2,1,"$76,547","$53,513",$926,$252,"$7,161"
173,3,4,0,"$41,275","$35,920","$1,120",$206,"$3,826"
174,1,2,1,"$59,708",,"$1,070",$255,"$3,274"
175,3,1,0,"$68,115","$65,099","$1,159",$205,"$6,910"
176,3,3,0,"$25,755","$20,267",$847,$209,"$2,171"
177,1,4,0,"$33,699",,$797,$208,$227
178,1,1,0,"$36,384",,$601,$202,"$2,391"
179,4,4,0,"$25,816","$20,903",$562,$209,"$3,200"
180,3,1,0,"$30,415","$17,213",$728,$207,"$2,781"
181,1,1,0,"$34,150",,$643,$205,"$1,763"
182,8,4,0,"$31,484","$24,850",$644,$233,"$3,688"
183,5,2,1,"$68,108","$57,895","$1,521",$275,"$7,025"
184,4,4,0,"$26,788","$26,101","$1,059",$203,"$3,864"
185,1,1,1,"$68,299",,"$1,271",$246,"$6,579"
186,3,3,1,"$36,015",,"$1,150",$252,"$3,073"
187,3,1,1,"$46,561","$26,631","$1,984",$255,"$6,440"
188,3,4,1,"$52,434",,"$1,093",$271,"$5,594"
189,2,4,0,"$37,650","$32,230",$534,$201,"$2,158"
190,4,3,1,"$34,308","$25,247",$963,$254,"$5,121"
191,4,1,1,"$53,576","$48,666","$1,108",$257,"$4,263"
192,2,1,1,"$46,249",,"$1,133",$254,"$3,931"
193,1,4,1,"$33,940",,"$1,027",$247,"$4,923"
194,1,4,1,"$37,924",,$653,$248,"$4,017"
195,4,4,0,"$26,167","$16,259",$553,$212,"$2,353"
196,10,4,0,"$33,456","$22,267",$405,$226,"$4,354"
197,4,4,0,"$20,182","$16,653",$603,$218,"$2,989"
198,3,2,1,"$65,699","$50,202","$1,065",$263,"$4,977"
199,4,2,1,"$59,015","$34,549","$1,262",$254,"$7,340"
200,6,2,1,"$81,366","$45,443","$1,800",$267,"$7,850"
201,4,4,0,"$31,198","$20,115",$497,$213,"$2,092"
202,3,2,1,"$40,383","$31,270","$1,086",$256,"$5,276"
203,3,3,0,"$24,578","$23,269","$1,286",$207,"$3,154"
204,3,4,0,"$30,002","$18,632",$349,$212,"$2,808"
205,1,4,1,"$42,058",,$884,$254,"$4,607"
206,4,3,0,"$25,835","$15,362",$797,$209,"$3,136"
207,1,4,0,"$18,276",,$478,$196,"$1,657"
208,1,4,0,"$22,380",,$746,$194,$854
209,3,1,1,"$48,893",,$676,$254,"$5,112"
210,4,1,0,"$60,953","$58,573","$1,186",$205,"$3,374"
211,4,3,0,"$29,322","$17,787",$674,$212,"$1,582"
212,4,1,1,"$36,170",,"$1,185",$253,"$5,467"
213,3,2,1,"$70,692","$69,115","$1,088",$252,"$6,915"
214,5,1,1,"$36,742","$19,478","$1,304",$262,"$5,697"
215,4,3,0,"$39,255","$36,234",$949,$207,"$3,848"
216,3,1,0,"$43,737","$37,196",$797,$206,"$3,273"
217,4,2,0,"$41,401","$33,059",$724,$205,"$2,554"
218,4,4,0,"$23,779","$17,567",$784,$207,"$2,954"
219,4,2,0,"$53,165","$33,644","$1,740",$199,"$6,727"
220,2,3,0,"$34,756","$21,101",$801,$205,"$3,163"
221,2,3,0,"$49,479","$48,203",$647,$201,"$3,054"
222,1,2,0,"$72,949",,"$1,522",$200,"$3,729"
223,1,4,0,"$39,987",,$538,$204,"$1,570"
224,1,1,0,"$34,204",,$838,$197,"$1,855"
225,2,4,0,"$38,975","$32,867",$369,$192,"$2,494"
226,1,1,1,"$39,991",,$796,$246,"$3,657"
227,4,4,0,"$18,706","$9,549",$690,$214,"$2,672"
228,4,3,0,"$52,965","$37,370",$766,$214,"$5,498"
229,3,2,0,"$65,318","$58,628","$1,687",$219,"$3,482"
230,9,1,1,"$32,630","$25,291","$1,391",$287,"$7,930"
231,2,1,0,"$56,645","$47,472",$797,$197,"$2,910"
232,6,1,1,"$40,270","$31,773",$854,$276,"$6,545"
233,4,4,0,"$33,538","$26,083",$617,$215,"$2,375"
234,3,4,1,"$37,599",,"$1,058",$255,"$5,605"
235,1,1,1,"$59,579",,"$1,161",$254,"$5,364"
236,4,3,0,"$32,271","$17,847",$818,$211,"$3,191"
237,2,1,1,"$41,427",,"$1,377",$249,"$4,882"
238,3,3,0,"$37,235","$20,488",$745,$206,"$2,100"
239,2,3,1,"$31,519",,"$1,218",$245,"$4,669"
240,1,2,1,"$73,980",,$823,$244,"$3,831"
241,4,4,1,"$20,514","$18,732",$629,$266,"$4,441"
242,3,2,1,"$81,612",,"$1,787",$254,"$6,863"
243,4,1,1,"$65,717",,"$1,251",$263,"$6,689"
244,3,1,1,"$50,155",,"$1,068",$254,"$4,262"
245,2,4,1,"$35,502",,$829,$253,"$3,371"
246,3,3,1,"$40,874","$33,446","$1,217",$260,"$6,199"
247,5,4,0,"$38,425","$35,376",$398,$224,"$3,822"
248,5,3,1,"$30,045","$25,054",$924,$271,"$6,338"
249,6,1,1,"$31,644","$19,893",$821,$266,"$5,859"
250,2,4,0,"$34,052","$17,805",$585,$200,"$2,030"
251,4,1,1,"$47,336","$30,437","$1,044",$261,"$4,896"
252,2,2,1,"$38,007","$21,144",$840,$259,"$4,505"
253,5,4,0,"$21,402","$13,964",$788,$222,"$2,503"
254,2,4,1,"$39,353",,$495,$247,"$4,631"
255,1,2,0,"$64,179",,"$1,432",$199,"$4,287"
256,1,2,1,"$67,184",,$756,$242,"$4,742"
257,3,4,0,"$43,163","$22,622",$941,$208,"$2,491"
258,1,2,0,"$51,372",,$887,$191,"$1,789"
259,5,4,0,"$23,763","$21,360",$953,$226,"$3,829"
260,4,4,0,"$20,987","$14,189",$355,$214,"$3,635"
261,3,3,0,"$49,819","$36,911",$960,$211,"$2,853"
262,2,1,1,"$58,303",,"$1,266",$256,"$4,910"
263,4,2,0,"$71,130","$39,826","$1,262",$216,"$5,036"
264,3,3,1,"$37,375",,$985,$255,"$3,616"
265,4,4,0,"$21,701","$20,331",$799,$206,"$2,493"
266,1,4,0,"$27,700",,$728,$203,$555
267,1,1,0,"$32,420",,"$1,075",$203,"$1,352"
268,2,2,1,"$65,740","$33,583","$1,044",$244,"$4,646"
269,4,4,1,"$37,552","$22,103",$893,$260,"$4,997"
270,3,2,1,"$58,182","$37,835","$1,576",$248,"$8,318"
271,2,4,1,"$34,662","$22,798",$724,$245,"$4,596"
272,3,4,0,"$38,634","$27,213",$549,$207,"$2,706"
273,3,3,1,"$27,085",,$965,$268,"$5,298"
274,3,2,1,"$60,590",,"$1,167",$264,"$6,004"
275,2,2,1,"$98,881","$74,825","$1,295",$249,"$6,608"
276,5,1,1,"$46,473","$37,134","$1,489",$261,"$7,121"
277,1,3,1,"$54,374",,$804,$252,"$5,410"
278,2,1,1,"$64,630","$62,321","$1,585",$249,"$7,559"
279,2,3,1,"$39,320",,"$1,259",$254,"$4,220"
280,3,3,0,"$31,461","$20,949",$888,$207,"$2,621"
281,4,3,0,"$38,389","$21,554",$712,$222,"$3,712"
282,3,1,1,"$43,179",,$909,$257,"$5,218"
283,3,4,0,"$31,721","$25,940",$525,$210,"$1,619"
284,1,3,0,"$28,835",,$793,$205,"$1,003"
285,2,1,1,"$65,852","$44,595",$908,$246,"$6,546"
286,4,3,1,"$49,156",,$838,$258,"$5,598"
287,5,2,1,"$57,772","$48,723","$1,070",$269,"$6,650"
288,3,3,0,"$45,455","$37,997",$732,$217,"$2,263"
289,1,3,1,"$46,890",,$577,$244,"$5,140"
290,10,3,0,"$48,330","$37,135",$616,$230,"$4,681"
291,3,3,0,"$50,724","$38,092",$653,$201,"$5,330"
292,4,2,1,"$48,586",,$679,$258,"$4,678"
293,1,3,0,"$29,289",,$833,$206,"$1,413"
294,1,1,0,"$36,838",,$621,$192,"$2,365"
295,3,1,1,"$39,080",,"$1,103",$259,"$4,371"
296,5,4,0,"$21,382","$16,970",$557,$215,"$2,265"
297,2,1,1,"$42,390","$26,173","$1,008",$247,"$3,516"
298,2,2,1,"$48,120","$41,952","$1,317",$246,"$5,620"
299,2,4,1,"$35,343",,$556,$239,"$4,899"
300,5,2,1,"$75,049","$55,657","$1,380",$272,"$5,384"
301,1,3,1,"$32,316",,$790,$260,"$3,138"
302,3,3,0,"$46,289","$42,421",$778,$208,"$2,395"
303,2,4,0,"$35,883","$19,692",$895,$203,"$2,350"
304,3,3,1,"$37,904","$23,890","$1,614",$267,"$6,846"
305,3,3,1,"$54,901","$28,768","$1,306",$266,"$5,224"
306,4,3,0,"$32,649","$24,742","$1,103",$212,"$4,999"
307,2,4,1,"$16,971",,$807,$241,"$3,459"
308,3,4,1,"$34,431",,$805,$258,"$5,426"
309,5,4,0,"$30,539","$22,543",$334,$213,"$2,962"
310,1,4,0,"$32,697",,$623,$202,"$1,340"
311,4,2,1,"$84,886",,"$1,141",$260,"$6,490"
312,3,1,0,"$29,386","$17,430",$875,$205,"$2,334"
313,4,4,0,"$24,109","$20,314",$389,$211,"$2,560"
314,2,1,1,"$36,493","$32,221","$1,434",$248,"$5,504"
315,4,1,1,"$55,506","$53,412","$1,112",$264,"$5,924"
316,3,3,1,"$39,627","$21,831",$933,$264,"$5,137"
317,2,4,0,"$28,910","$14,855",$490,$203,"$1,129"
